model,condition,seed,unit,signal,turn,cusum,ph
qwen3-235b,base,2,A1,H,19,2.8534862398118284,2.8534862398118284
qwen3-235b,base,2,A1,H,20,3.083870889462242,3.083870889462242
qwen3-235b,base,2,A1,H,21,3.336853274014885,3.336853274014885
qwen3-235b,base,2,A1,H,22,3.6912608617679252,3.6912608617679257
qwen3-235b,base,2,A1,H,23,3.908746432358236,3.908746432358236
qwen3-235b,base,2,A1,H,24,4.222896442056094,4.222896442056094
qwen3-235b,base,2,A1,H,25,4.354156522259778,4.354156522259778
qwen3-235b,base,2,A1,H,26,4.481060363392784,4.481060363392784
qwen3-235b,base,2,A1,H,27,4.7500204802688515,4.750020480268851
qwen3-235b,base,2,A1,H,28,4.701936511859661,4.70193651185966
qwen3-235b,base,2,A1,H,29,4.9388210370596495,4.9388210370596495
qwen3-235b,base,2,A1,H,30,5.075541108300733,5.075541108300733
qwen3-235b,base,2,A2,H,8,0.21284644725952162,0.21284644725952162
qwen3-235b,base,2,A2,H,9,0.1495227308973648,0.1495227308973648
qwen3-235b,base,2,A2,H,10,0.6428476643152778,0.6428476643152778
qwen3-235b,base,2,A2,H,11,0.3940220989570229,0.3940220989570229
qwen3-235b,base,2,A2,H,12,0.0,0.0
qwen3-235b,base,2,A2,H,13,0.0,0.0
qwen3-235b,base,2,A2,H,14,0.0,0.0
qwen3-235b,base,2,A2,H,15,0.38361057442724467,0.38361057442724444
qwen3-235b,base,2,A2,H,16,0.0,0.0
qwen3-235b,base,2,A2,H,17,0.0,0.0
qwen3-235b,base,2,A2,H,18,0.0,0.0
qwen3-235b,base,2,A2,H,19,0.0,0.0
qwen3-235b,base,2,A2,H,20,1.143183099917912,1.1431830999179118
qwen3-235b,base,2,A2,H,21,0.2024220517870292,0.2024220517870292
qwen3-235b,base,2,A2,H,22,0.0,0.0
qwen3-235b,base,2,A2,H,23,0.0,0.0
qwen3-235b,base,2,A2,H,24,0.07196643340960618,0.07196643340960662
qwen3-235b,base,2,A2,H,25,0.0,0.0
qwen3-235b,base,2,A2,H,26,0.3050619089041713,0.30506190890417173
qwen3-235b,base,2,A2,H,27,0.0,0.0
qwen3-235b,base,2,A2,H,28,1.0978493571529047,1.0978493571529047
qwen3-235b,base,2,A2,H,29,1.0363653011627625,1.0363653011627623
qwen3-235b,base,2,A2,H,30,1.7197375697228106,1.7197375697228097
qwen3-235b,base,3,A1,H,8,0.0,0.0
qwen3-235b,base,3,A1,H,9,1.4156986537552432,1.4156986537552432
qwen3-235b,base,3,A1,H,10,2.0398168855211587,2.0398168855211587
qwen3-235b,base,3,A1,H,11,2.7900375032312903,2.7900375032312903
qwen3-235b,base,3,A1,H,12,2.6090713624792605,2.60907136247926
qwen3-235b,base,3,A1,H,13,2.8614732607816795,2.861473260781679
qwen3-235b,base,3,A1,H,14,3.286711342231908,3.286711342231908
qwen3-235b,base,3,A1,H,15,3.6426306728425404,3.6426306728425404
qwen3-235b,base,3,A1,H,16,3.8015565562783022,3.801556556278303
qwen3-235b,base,3,A1,H,17,3.570725100147177,3.570725100147178
qwen3-235b,base,3,A1,H,18,3.4200503098358475,3.4200503098358483
qwen3-235b,base,3,A1,H,19,3.38078717808271,3.380787178082711
qwen3-235b,base,3,A1,H,20,2.8675396073252863,2.867539607325287
qwen3-235b,base,3,A1,H,21,1.379639492627804,1.3796394926278046
qwen3-235b,base,3,A1,H,22,0.5496988389066542,0.5496988389066547
qwen3-235b,base,3,A1,H,23,1.5456827664772295,1.5456827664772297
qwen3-235b,base,3,A1,H,24,0.8640389170409,0.8640389170409002
qwen3-235b,base,3,A1,H,25,1.7999270948744006,1.7999270948744008
qwen3-235b,base,3,A1,H,26,1.0184871636159745,1.0184871636159747
qwen3-235b,base,3,A1,H,27,1.417549702046369,1.4175497020463692
qwen3-235b,base,3,A1,H,28,1.1720400065649734,1.1720400065649736
qwen3-235b,base,3,A1,H,29,1.7984787922586052,1.7984787922586054
qwen3-235b,base,3,A1,H,30,0.9874839747058177,0.987483974705818
qwen3-235b,base,3,A2,H,8,0.0,0.0
qwen3-235b,base,3,A2,H,9,0.5393439329553844,0.5393439329553844
qwen3-235b,base,3,A2,H,10,0.19991565119217303,0.19991565119217314
qwen3-235b,base,3,A2,H,11,0.0,0.0
qwen3-235b,base,3,A2,H,12,0.0,0.0
qwen3-235b,base,3,A2,H,13,0.0,0.0
qwen3-235b,base,3,A2,H,14,0.0,0.0
qwen3-235b,base,3,A2,H,15,0.0,0.0
qwen3-235b,base,3,A2,H,16,0.0,0.0
qwen3-235b,base,3,A2,H,17,0.0,0.0
qwen3-235b,base,3,A2,H,18,0.0,0.0
qwen3-235b,base,3,A2,H,19,0.0,0.0
qwen3-235b,base,3,A2,H,20,0.38939047621076084,0.3893904762107607
qwen3-235b,base,3,A2,H,21,0.5768416894497941,0.5768416894497941
qwen3-235b,base,3,A2,H,22,0.05832530486123577,0.05832530486123577
qwen3-235b,base,4,A1,H,8,0.0,0.0
qwen3-235b,base,4,A1,H,9,0.5578162741530139,0.5578162741530139
qwen3-235b,base,4,A1,H,10,0.0,0.0
qwen3-235b,base,4,A1,H,11,0.3845182313063975,0.3845182313063975
qwen3-235b,base,4,A1,H,12,0.2754210963367898,0.2754210963367898
qwen3-235b,base,4,A1,H,13,0.0,0.0
qwen3-235b,base,4,A1,H,14,0.0,0.0
qwen3-235b,base,4,A1,H,15,0.0,0.0
qwen3-235b,base,4,A1,H,16,0.0,0.0
qwen3-235b,base,4,A1,H,17,0.0,0.0
qwen3-235b,base,4,A1,H,18,0.0,0.0
qwen3-235b,base,4,A1,H,19,0.0,0.0
qwen3-235b,base,4,A1,H,20,0.0,0.0
qwen3-235b,base,4,A1,H,21,0.0,0.0
qwen3-235b,base,4,A1,H,22,0.0,0.0
qwen3-235b,base,4,A1,H,23,0.0,0.0
qwen3-235b,base,4,A1,H,24,0.0,0.0
qwen3-235b,base,4,A1,H,25,0.0,0.0
qwen3-235b,base,4,A1,H,26,0.0,0.0
qwen3-235b,base,4,A1,H,27,0.0,0.0
qwen3-235b,base,4,A1,H,28,0.0,0.0
qwen3-235b,base,4,A1,H,29,0.0,0.0
qwen3-235b,base,4,A1,H,30,0.0,0.0
qwen3-235b,base,4,A2,H,8,0.0,0.0
qwen3-235b,base,4,A2,H,9,0.0,0.0
qwen3-235b,base,4,A2,H,10,1.5998217868083051,1.5998217868083051
qwen3-235b,base,4,A2,H,11,1.9427369530486382,1.942736953048638
qwen3-235b,base,4,A2,H,12,0.8024812694225303,0.8024812694225301
qwen3-235b,base,4,A2,H,13,0.0,0.0
qwen3-235b,base,4,A2,H,14,0.05599331669566043,0.05599331669566032
qwen3-235b,base,4,A2,H,15,0.0,0.0
qwen3-235b,base,4,A2,H,16,0.0,0.0
qwen3-235b,base,4,A2,H,17,0.0,0.0
qwen3-235b,base,4,A2,H,18,0.0,0.0
qwen3-235b,base,4,A2,H,19,0.0,0.0
qwen3-235b,base,4,A2,H,20,0.8604918524419738,0.8604918524419738
qwen3-235b,base,4,A2,H,21,0.577385683045377,0.5773856830453767
qwen3-235b,base,4,A2,H,22,0.4139099544004252,0.413909954400425
qwen3-235b,base,4,A2,H,23,0.044071509566349976,0.044071509566349754
qwen3-235b,base,4,A2,H,24,0.4678116326334656,0.46781163263346537
qwen3-235b,base,4,A2,H,25,0.08996136246217745,0.08996136246217734
qwen3-235b,base,4,A2,H,26,0.0,0.0
qwen3-235b,base,4,A2,H,27,0.0,0.0
qwen3-235b,base,4,A2,H,28,0.0,0.0
qwen3-235b,base,4,A2,H,29,0.3191028481147685,0.31910284811476863
qwen3-235b,base,4,A2,H,30,0.0,0.0
qwen3-235b,base,5,A1,H,8,1.6019515838703464,1.6019515838703464
qwen3-235b,base,5,A1,H,9,2.212708408388708,2.212708408388708
qwen3-235b,base,5,A1,H,10,2.349567413058151,2.349567413058151
qwen3-235b,base,5,A1,H,11,2.381973488659394,2.381973488659394
qwen3-235b,base,5,A1,H,12,2.5089693755024816,2.5089693755024816
qwen3-235b,base,5,A1,H,13,3.4748107077554784,3.4748107077554784
qwen3-235b,base,5,A1,H,14,4.282161151978987,4.282161151978987
qwen3-235b,base,5,A1,H,15,3.4998628887696404,3.4998628887696404
qwen3-235b,base,5,A1,H,16,2.616229293347912,2.616229293347912
qwen3-235b,base,5,A1,H,17,2.391062086015789,2.391062086015789
qwen3-235b,base,5,A1,H,18,2.0912740629571225,2.0912740629571225
qwen3-235b,base,5,A1,H,19,1.7504622693704204,1.7504622693704204
qwen3-235b,base,5,A1,H,20,1.1883584772803384,1.1883584772803384
qwen3-235b,base,5,A1,H,21,0.14580445874968995,0.14580445874968984
qwen3-235b,base,5,A1,H,22,0.0,0.0
qwen3-235b,base,5,A1,H,23,0.0,0.0
qwen3-235b,base,5,A1,H,24,0.017135549146047535,0.017135549146047535
qwen3-235b,base,5,A1,H,25,0.21375032870917787,0.21375032870917787
qwen3-235b,base,5,A1,H,26,0.0,0.0
qwen3-235b,base,5,A1,H,27,0.0,0.0
qwen3-235b,base,5,A1,H,28,0.0,0.0
qwen3-235b,base,5,A1,H,29,1.385610645454835,1.385610645454835
qwen3-235b,base,5,A1,H,30,1.0411409842116326,1.0411409842116326
qwen3-235b,base,5,A2,H,8,0.2894329939976974,0.2894329939976974
qwen3-235b,base,5,A2,H,9,0.0,0.0
qwen3-235b,base,5,A2,H,10,0.08199342283194055,0.08199342283194055
qwen3-235b,base,5,A2,H,11,0.0,0.0
qwen3-235b,base,5,A2,H,12,0.0,0.0
qwen3-235b,base,5,A2,H,13,0.13920977764298315,0.13920977764298303
qwen3-235b,base,5,A2,H,14,0.6521015351517461,0.6521015351517461
qwen3-235b,base,5,A2,H,15,0.7143561797304132,0.7143561797304132
qwen3-235b,base,5,A2,H,16,0.4878135147109026,0.48781351471090284
qwen3-235b,base,5,A2,H,17,0.0,0.0
qwen3-235b,base,5,A2,H,18,0.0,0.0
qwen3-235b,base,5,A2,H,19,0.0,0.0
qwen3-235b,base,5,A2,H,20,0.0,0.0
qwen3-235b,base,5,A2,H,21,0.0,0.0
qwen3-235b,base,5,A2,H,22,0.0,0.0
qwen3-235b,base,5,A2,H,23,0.0,0.0
qwen3-235b,base,5,A2,H,24,0.0,0.0
qwen3-235b,base,5,A2,H,25,0.0,0.0
qwen3-235b,base,5,A2,H,26,0.0,0.0
qwen3-235b,base,5,A2,H,27,0.0,0.0
qwen3-235b,base,5,A2,H,28,0.0,0.0
qwen3-235b,base,5,A2,H,29,0.0,0.0
qwen3-235b,base,5,A2,H,30,0.0,0.0
qwen3-235b,base,6,A1,H,8,0.045668175642173736,0.045668175642173736
qwen3-235b,base,6,A1,H,9,0.0,0.0
qwen3-235b,base,6,A1,H,10,0.0,0.0
qwen3-235b,base,6,A1,H,11,0.0,0.0
qwen3-235b,base,6,A1,H,12,0.0,0.0
qwen3-235b,base,6,A1,H,13,0.0,0.0
qwen3-235b,base,6,A1,H,14,0.0,0.0
qwen3-235b,base,6,A1,H,15,0.0,0.0
qwen3-235b,base,6,A1,H,16,0.0,0.0
qwen3-235b,base,6,A1,H,17,0.09683508267610341,0.0968350826761033
qwen3-235b,base,6,A1,H,18,0.13141182030506682,0.1314118203050667
qwen3-235b,base,6,A1,H,19,0.14372371585046329,0.14372371585046317
qwen3-235b,base,6,A1,H,20,0.02224530569629346,0.02224530569629324
qwen3-235b,base,6,A1,H,21,0.0,0.0
qwen3-235b,base,6,A1,H,22,0.0,0.0
qwen3-235b,base,6,A1,H,23,0.24342993431954418,0.2434299343195443
qwen3-235b,base,6,A1,H,24,0.0,0.0
qwen3-235b,base,6,A1,H,25,0.0,0.0
qwen3-235b,base,6,A1,H,26,0.0,0.0
qwen3-235b,base,6,A1,H,27,0.0,0.0
qwen3-235b,base,6,A1,H,28,0.2688991682976335,0.26889916829763294
qwen3-235b,base,6,A1,H,29,0.0,0.0
qwen3-235b,base,6,A1,H,30,0.0,0.0
qwen3-235b,base,6,A2,H,8,1.28381793964532,1.28381793964532
qwen3-235b,base,6,A2,H,9,2.0061252556788176,2.0061252556788176
