model,align,role,rel,metric,n,mean,ci_low,ci_high,frac_read_log
llama-3.3-70b,tau_use,receiver,-1,y_raw,38,0.0006227069961024841,0.000561859906682172,0.000692174599148537,1.0
llama-3.3-70b,tau_use,receiver,-1,y_adj,38,0.17412568983123844,0.17232453377958615,0.17534451014033087,1.0
llama-3.3-70b,tau_use,receiver,-1,mean_surprisal_bits,38,6.16723980330931e-05,5.555376442725705e-05,6.873305469840166e-05,1.0
llama-3.3-70b,tau_use,receiver,0,y_raw,38,0.3692858181141085,0.3240844072106698,0.41539202298642774,0.0
llama-3.3-70b,tau_use,receiver,0,y_adj,38,0.16775456713667317,0.12474361053905562,0.2121970133249399,0.0
llama-3.3-70b,tau_use,receiver,0,mean_surprisal_bits,38,0.3933111308184436,0.3313269941698725,0.4650182427842576,0.0
llama-3.3-70b,tau_use,receiver,1,y_raw,36,0.045408505909879354,0.010802195297008233,0.08504164553881924,0.8333333333333334
llama-3.3-70b,tau_use,receiver,1,y_adj,36,0.17597161971479466,0.1703981228173773,0.1824475960973177,0.8333333333333334
llama-3.3-70b,tau_use,receiver,1,mean_surprisal_bits,36,0.05376881558324153,0.008905840014517363,0.10517525750252614,0.8333333333333334
llama-3.3-70b,tau_use,receiver,2,y_raw,35,0.2718000728120647,0.21882023141263626,0.3278503293313112,0.11428571428571428
llama-3.3-70b,tau_use,receiver,2,y_adj,35,0.13910138546417944,0.10649418536126408,0.17534883138765406,0.11428571428571428
llama-3.3-70b,tau_use,receiver,2,mean_surprisal_bits,35,0.24921965931352708,0.19512578781404574,0.30778065380167213,0.11428571428571428
llama-3.3-70b,tau_use,receiver,3,y_raw,30,0.08354492137424147,0.03663930639734617,0.13381656949296278,0.6666666666666666
llama-3.3-70b,tau_use,receiver,3,y_adj,30,0.1623527436594162,0.14752811053124387,0.17492130521117694,0.6666666666666666
llama-3.3-70b,tau_use,receiver,3,mean_surprisal_bits,30,0.08088358922435952,0.03232114699249398,0.13480528017601284,0.6666666666666666
llama-3.3-70b,tau_use,receiver,4,y_raw,27,0.22748665853323183,0.1435860329499897,0.32080292988964043,0.18518518518518517
llama-3.3-70b,tau_use,receiver,4,y_adj,27,0.17573300054963406,0.12220256994997399,0.2332925623083389,0.18518518518518517
llama-3.3-70b,tau_use,receiver,4,mean_surprisal_bits,27,0.21602613529259274,0.12889038138856296,0.31399517785718367,0.18518518518518517
llama-3.3-70b,tau_use,receiver,5,y_raw,23,0.10161398212591681,0.04370806276596838,0.16271076738714443,0.6086956521739131
llama-3.3-70b,tau_use,receiver,5,y_adj,23,0.16220654271797677,0.1332164342475936,0.19023101924684535,0.6086956521739131
llama-3.3-70b,tau_use,receiver,5,mean_surprisal_bits,23,0.12472037073192974,0.04324994997099493,0.22558724282368547,0.6086956521739131
qwen3-235b,tau_placebo_read,author,-5,y_raw,40,0.2031746101095877,0.14907855988131377,0.2714013115699732,0.8
qwen3-235b,tau_placebo_read,author,-5,y_adj,40,0.16087577034248554,0.08104610799621971,0.2424851318208214,0.8
qwen3-235b,tau_placebo_read,author,-5,mean_surprisal_bits,40,0.20209364274619465,0.10483730912919421,0.3222423427363952,0.8
qwen3-235b,tau_placebo_read,author,-4,y_raw,40,0.33204652937755313,0.2619799205706674,0.4054009656988212,0.425
qwen3-235b,tau_placebo_read,author,-4,y_adj,40,0.3454183283826342,0.28244837800594164,0.41027993367361615,0.425
qwen3-235b,tau_placebo_read,author,-4,mean_surprisal_bits,40,0.30070493206470517,0.21559114365360352,0.40081461394420925,0.425
qwen3-235b,tau_placebo_read,author,-3,y_raw,40,0.21366226345302491,0.16024345643770677,0.27239098208055784,0.7
qwen3-235b,tau_placebo_read,author,-3,y_adj,40,0.19990809298778195,0.14542945927418238,0.2570510498015397,0.7
qwen3-235b,tau_placebo_read,author,-3,mean_surprisal_bits,40,0.19511529763972296,0.10730233751143796,0.3025187250086995,0.7
