model,condition,seed,turn,agent,pos,H_lower_bits,H_lower_re,H_renorm_bits,H_renorm_re,coverage,coverage_re,k
qwen3-235b,base,2,2,A2,123,0.2043736695661882,1.258503993187606e-05,0.2043736695661882,1.2613944748733654e-05,1.0,1.0000000200354673,20
qwen3-235b,base,2,2,A2,132,0.1616917992409729,0.16029886878397706,0.1616917992409729,0.16029886858111878,1.0,0.9999999998418131,20
qwen3-235b,base,2,5,A1,23,5.504740694744956e-06,2.237081337874039e-06,5.504740694744956e-06,2.182813288355306e-06,1.0,0.9999999623841969,20
qwen3-235b,base,2,5,A1,26,3.336945287087757e-05,3.19935936321593e-05,3.336945287087757e-05,3.178747499882902e-05,1.0,0.9999998571262922,20
qwen3-235b,base,2,5,A1,27,3.422936282438449e-05,3.19935936321593e-05,3.422936282438449e-05,3.178747499882902e-05,1.0,0.9999998571262922,20
qwen3-235b,base,2,5,A1,34,5.804261217834289e-06,3.5684920256091048e-06,5.804261217834289e-06,3.5977140065050384e-06,1.0,1.000000020255184,20
qwen3-235b,base,2,5,A1,39,0.0002299393851805,3.973413693758997e-07,0.0002299393851805,4.179854240753997e-07,1.0,1.0000000143093724,20
qwen3-235b,base,2,5,A1,40,5.212831647324902e-06,3.973413693758997e-07,5.212831647324902e-06,4.179854240753997e-07,1.0,1.0000000143093724,20
qwen3-235b,base,2,5,A1,53,0.0076365000352717,0.00763495219389469,0.0076365000352717,0.0076153974171275325,1.0,0.9999863736407977,20
qwen3-235b,base,2,5,A1,54,0.0076352961590734,0.00763495219389469,0.0076352961590734,0.0076153974171275325,1.0,0.9999863736407977,20
qwen3-235b,base,2,5,A1,55,0.0076351241765147,0.00763495219389469,0.0076351241765147,0.0076153974171275325,1.0,0.9999863736407977,20
qwen3-235b,base,2,5,A1,59,0.457197307020114,2.0428904835075425e-05,0.457197307020114,2.046060914796977e-05,1.0,1.0000000219760665,20
qwen3-235b,base,2,5,A1,62,0.1157618940627011,0.0017482980367676362,0.1157618940627011,0.0017476689188396593,1.0,0.9999995633996926,20
qwen3-235b,base,2,5,A1,72,0.5258396014587585,9.40049751252419e-06,0.5258396014587585,9.410509497952455e-06,1.0,1.0000000069398247,20
qwen3-235b,base,2,5,A1,75,0.1594407515774909,0.01762544723193137,0.1594407515774909,0.017616091324181463,1.0,0.9999934347926167,20
qwen3-235b,base,2,9,A2,4,1.9107151779018787,1.9059774844669264,1.9107151779018787,1.9100924361031875,1.0,0.9913128408260724,20
qwen3-235b,base,2,9,A2,5,2.3557276795314617,1.9059774844669264,2.3557276795314617,1.9100924361031875,1.0,0.9913128408260724,20
qwen3-235b,base,2,9,A2,9,0.251815665043765,0.1516040831274504,0.251815665043765,0.1515854514187825,1.0,0.999985569111219,20
qwen3-235b,base,2,9,A2,12,0.2218627594162192,2.969356482996e-05,0.2218627594162192,2.9350569210766092e-05,1.0,0.9999997622486885,20
qwen3-235b,base,2,9,A2,15,1.4213716554301349e-05,1.300983949490186e-05,1.4213716554301349e-05,1.2936423885196701e-05,1.0,0.9999999491117195,20
qwen3-235b,base,2,9,A2,16,2.883198324866268e-05,1.300983949490186e-05,2.883198324866268e-05,1.2936423885196701e-05,1.0,0.9999999491117195,20
qwen3-235b,base,2,9,A2,22,7.276403118584127e-05,8.618782227022286e-06,7.276403118584127e-05,8.589774502182759e-06,1.0,0.9999999798932574,20
qwen3-235b,base,2,9,A2,23,0.3314259126572384,8.618782227022286e-06,0.3314259126572384,8.589774502182759e-06,1.0,0.9999999798932574,20
qwen3-235b,base,2,9,A2,26,1.506395334530032,1.1214493956293776,1.506395334530032,1.1214492528312292,1.0,0.9999995554858732,20
qwen3-235b,base,2,9,A2,30,0.0277822571682048,2.2258369435413613e-05,0.0277822571682048,2.229266675433852e-05,1.0,1.000000023773457,20
qwen3-235b,base,2,9,A2,33,1.184279205468243,0.8399434299366725,1.184279205468243,0.8399433794811756,1.0,0.999999916291393,20
qwen3-235b,base,2,9,A2,39,0.4817241165394895,0.013517139544718604,0.4817241165394895,0.013517187710353326,1.0,1.0000000337016375,20
qwen3-235b,base,2,9,A2,44,0.3106822286656993,0.18613833635693472,0.3106822286656993,0.18613841562126765,1.0,1.0000000630805874,20
