model,condition,segment,target,candidate,k,n,rss,aic,bic,loso_mse,range_ok
qwen3-235b,base,full,y_adj,zhu,6,1135,30.06600311049298,-4109.176897523708,-4078.970569944215,0.027558544567816277,
qwen3-235b,base,post,y_raw,constant,1,858,21.329258837493995,-3167.9018622958793,-3163.1472581963912,0.025274890212830508,True
qwen3-235b,base,post,y_raw,linear,2,858,21.255999775382733,-3168.8538855708184,-3159.3446773718424,0.02531810078596939,True
qwen3-235b,base,post,y_raw,log,2,858,21.196107961886533,-3171.274835333369,-3161.765627134393,0.02525645495403075,True
qwen3-235b,base,post,y_raw,spline,4,858,20.862484571026823,-3180.8870299477194,-3161.8686135497674,0.02496233661096963,True
qwen3-235b,base,post,y_raw,zhu,6,858,20.829506315716905,-3178.2443817246603,-3149.7167571277328,0.025043480585776996,True
qwen3-235b,base,post,y_adj,constant,1,858,21.244456846910698,-3171.319943286882,-3166.565339187394,0.025163139803134175,
qwen3-235b,base,post,y_adj,linear,2,858,21.154618415469436,-3172.9559419050493,-3163.4467337060732,0.025182771466038027,
qwen3-235b,base,post,y_adj,log,2,858,21.09566691691846,-3175.3502650762584,-3165.8410568772824,0.025123492553420296,
qwen3-235b,base,post,y_adj,spline,4,858,20.815100218249043,-3182.8379967518736,-3163.8195803539215,0.024894617122978253,
qwen3-235b,base,post,y_adj,zhu,6,858,20.77324205446282,-3180.565130592427,-3152.0375059954995,0.024964259779270574,
qwen3-235b,placebo,full,y_raw,constant,1,544,26.679276475602173,-1638.193806761327,-1633.8948575144711,0.049278697991650876,True
qwen3-235b,placebo,full,y_raw,linear,2,544,26.073963016606974,-1648.6785367135565,-1640.0806382198446,0.0483556001369747,True
qwen3-235b,placebo,full,y_raw,log,2,544,25.317302320879506,-1664.698892073924,-1656.1009935802122,0.04689143695451566,True
qwen3-235b,placebo,full,y_raw,spline,4,544,24.2642438840667,-1683.810311334943,-1666.6145143475192,0.04537580125783415,True
qwen3-235b,placebo,full,y_raw,zhu,6,544,24.110413768142124,-1683.2701338619447,-1657.476438380809,0.04525708821459719,True
qwen3-235b,placebo,full,y_adj,constant,1,544,22.81168160260514,-1723.3920111644109,-1719.093061917555,0.04211143709593564,
qwen3-235b,placebo,full,y_adj,linear,2,544,22.187040486215892,-1736.4958443314597,-1727.8979458377478,0.04118263216946766,
qwen3-235b,placebo,full,y_adj,log,2,544,21.967943391761306,-1741.894546227852,-1733.2966477341402,0.04071022726673337,
qwen3-235b,placebo,full,y_adj,spline,4,544,21.770048807803615,-1742.8172865223314,-1725.6214895349076,0.040763817255314236,
qwen3-235b,placebo,full,y_adj,zhu,6,544,20.465925771766912,-1772.4222181998848,-1746.628522718749,0.0384162917951731,
qwen3-235b,placebo,post,y_raw,constant,1,266,14.694159016857519,-768.3482997739711,-764.7648034651894,0.05578305568635229,True
qwen3-235b,placebo,post,y_raw,linear,2,266,14.551920963290506,-768.9356975101417,-761.7687048925783,0.05597822784576349,True
qwen3-235b,placebo,post,y_raw,log,2,266,14.553320847667628,-768.9101097313477,-761.7431171137843,0.05599212358926113,True
qwen3-235b,placebo,post,y_raw,spline,4,266,14.55042173241985,-764.963103923166,-750.6291186880393,0.058262866189115095,True
qwen3-235b,placebo,post,y_raw,zhu,6,266,14.261305908564236,-766.3017209997437,-744.8007431470535,0.0556776992323666,True
qwen3-235b,placebo,post,y_adj,constant,1,266,11.033558661532153,-844.5596014794711,-840.9761051706894,0.04194326054868907,
qwen3-235b,placebo,post,y_adj,linear,2,266,11.008657689178392,-843.1605992519674,-835.9936066344039,0.042423604176741854,
qwen3-235b,placebo,post,y_adj,log,2,266,11.01027581177078,-843.1215037516943,-835.9545111341308,0.042443448195663085,
qwen3-235b,placebo,post,y_adj,spline,4,266,10.893661369339943,-841.9538470428777,-827.6198618077509,0.042613142753176805,
qwen3-235b,placebo,post,y_adj,zhu,6,266,10.81134723040552,-839.9714150918834,-818.4704372391932,0.04349461036345136,
