spec,metric,window,adjust,model,kind,contrast,n_seeds,missing_seeds,mean,ci_low,ci_high,median,sd,n_pos,p_sign,p_wilcoxon,p_wilcoxon_bh,p_wilcoxon_bh_family,sensitivity,p_bh_family_endpoints
main,mean_H_renorm_bits,10,raw,llama-3.3-70b,prepost,S-P,19,3,-0.0048739307961716,-0.0237468779958986,0.015284397124116,-0.0145285729926163,0.0445757298276506,8,0.6476058959960938,0.5152778625488281,0.7893618319896941,0.8337080023261938,primary (s03),0.8661480024167072
main,mean_H_renorm_bits,10,raw,llama-3.3-70b,prepost,P-B,19,3,0.0345742089584103,0.0149800749727745,0.0563314461653952,0.0192475406164387,0.0471016570202104,16,0.004425048828125,0.0033416748046875,0.0481201171875,0.0687430245535714,primary (s03),0.06874302455357142
main,mean_H_renorm_bits,10,raw,qwen3-235b,level,comm,20,,-0.0005867480516311,-0.0444709202636634,0.0444991590924121,-0.0104116997799233,0.1032071162806649,10,1.0,0.7561664581298828,0.8961443219866071,0.9150249577370012,primary (s03),0.9802720053901885
main,mean_H_renorm_bits,10,raw,qwen3-235b,level,S-P,20,,-0.0137758372623893,-0.0726732715848161,0.0451253405484568,-0.0019684846425881,0.1362395537051655,10,1.0,0.4980087280273437,0.7893618319896941,0.8337080023261938,primary (s03),0.8661480024167072
main,mean_H_renorm_bits,10,raw,qwen3-235b,level,P-B,20,,0.0263781784215162,-0.0177544150733016,0.0686921889139161,0.0409986347164423,0.1013180193539771,13,0.2631759643554687,0.1536464691162109,0.5531272888183594,0.5979754473711993,primary (s03),0.6772987210020727
main,mean_H_renorm_bits,10,raw,qwen3-235b,prepost,comm,20,,-0.0203306294079549,-0.0668391081829658,0.0268679999833983,-0.0343889530829925,0.1090626116866792,7,0.2631759643554687,0.4304332733154297,0.7893618319896941,0.8337080023261938,primary (s03),0.8626976876237273
main,mean_H_renorm_bits,10,raw,qwen3-235b,prepost,S-P,20,,-0.0227427825852283,-0.0884131631922968,0.0446386160894652,-0.0443172045816583,0.154531630339662,8,0.5034446716308594,0.4304332733154297,0.7893618319896941,0.8337080023261938,primary (s03),0.8626976876237273
main,mean_H_renorm_bits,10,raw,qwen3-235b,prepost,P-B,20,,0.0048243063545466,-0.0564920631577109,0.0653475735182436,0.005155859404612,0.140167304075268,11,0.8238029479980469,0.7561664581298828,0.8961443219866071,0.9150249577370012,primary (s03),0.9802720053901885
main,mean_H_renorm_bits,10,adj,gpt-4o-mini,level,comm,20,,-0.0097021997407094,-0.0537670957513711,0.0345651260877313,-0.0166059047135807,0.1058691956403392,9,0.8238029479980469,0.6476554870605469,0.8798338692143278,0.8865767045454546,primary (s03),0.9339656386264535
main,mean_H_renorm_bits,10,adj,gpt-4o-mini,level,S-P,20,,-0.0120198734467086,-0.0662895887068786,0.0415949459599522,-0.0028549332543193,0.1267977661163511,10,1.0,0.6476554870605469,0.8798338692143278,0.8865767045454546,primary (s03),0.9339656386264535
main,mean_H_renorm_bits,10,adj,gpt-4o-mini,level,P-B,20,,0.0046353474119984,-0.0490046892666993,0.0630872502526242,0.0005460167145575,0.1305016331981498,10,1.0,0.8408222198486328,0.9035701467030084,0.934374908902752,primary (s03),0.980727711172079
main,mean_H_renorm_bits,10,adj,gpt-4o-mini,prepost,comm,20,,-0.0462258572205026,-0.10262418256465,0.0129111499420451,-0.0749844997641591,0.1380007432938623,6,0.1153182983398437,0.164957046508789,0.5655670166015625,0.6090721717247596,primary (s03),0.6918586805028822
main,mean_H_renorm_bits,10,adj,gpt-4o-mini,prepost,S-P,20,,-0.0482007400101695,-0.1140338929937879,0.018373999193365,-0.0609083054531146,0.1553717223418154,8,0.5034446716308594,0.1893482208251953,0.5868988037109375,0.6402532404119318,primary (s03),0.7162154892743644
main,mean_H_renorm_bits,10,adj,gpt-4o-mini,prepost,P-B,20,,0.0039497655793337,-0.0609302403634664,0.0691069743654816,0.0193403696275988,0.1502486953809565,12,0.5034446716308594,0.8694877624511719,0.9072915782099183,0.934374908902752,primary (s03),0.980727711172079
main,mean_H_renorm_bits,10,adj,llama-3.3-70b,level,comm,19,3,-0.0050900837469779,-0.0190708521877178,0.0096901538985757,-0.0116479694037278,0.0333594145208251,5,0.063568115234375,0.4180412292480469,0.7893618319896941,0.8337080023261938,primary (s03),0.8626976876237273
main,mean_H_renorm_bits,10,adj,llama-3.3-70b,level,S-P,19,3,-0.0220841915396124,-0.0362597783167059,-0.0076121608152877,-0.0307236025196383,0.0334368690788056,4,0.0192108154296875,0.014068603515625,0.1447056361607142,0.1688232421875,primary (s03),0.19605279737903225
