model,condition,seed,pre,post,prepost,level,end_turn,spec,metric,window,adjust
gpt-4o-mini,placebo,7,0.2006235575942432,0.23283310627389547,0.03220954867965228,0.23283310627389547,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,placebo,8,0.20654982448366993,0.23786317631226478,0.03131335182859485,0.23786317631226478,20,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,placebo,9,0.23985247255978484,0.21239887774619012,-0.027453594813594717,0.21239887774619012,11,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,placebo,10,0.2811154952679831,0.2767322574187403,-0.0043832378492427715,0.2767322574187403,27,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,placebo,11,0.40253184754226384,0.251437654940413,-0.15109419260185086,0.251437654940413,17,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,placebo,12,0.34243777374122725,0.4208386256071285,0.07840085186590123,0.4208386256071285,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,placebo,13,0.3056285863681986,0.25662152460504845,-0.04900706176315017,0.25662152460504845,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,placebo,14,0.29413724980651673,0.2565307414124725,-0.037606508394044225,0.2565307414124725,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,placebo,15,0.37853373313939925,0.3824370967623348,0.0039033636229355295,0.3824370967623348,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,placebo,16,0.2898086583914487,0.38518997197696775,0.09538131358551905,0.38518997197696775,20,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,placebo,17,0.23121458131018538,0.3615865674295082,0.1303719861193228,0.3615865674295082,21,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,placebo,18,0.2250553824611037,0.401152584174141,0.1760972017130373,0.401152584174141,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,placebo,19,0.24047185378330269,0.5916057683616146,0.3511339145783119,0.5916057683616146,18,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,placebo,20,0.3385499535892828,0.2904046952376159,-0.048145258351666886,0.2904046952376159,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,switch,1,0.15987736886548637,0.23164731625506213,0.07176994738957576,0.23164731625506213,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,switch,2,0.3433050005087713,0.25380741215904734,-0.08949758834972393,0.25380741215904734,20,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,switch,3,0.16998932695220634,0.24720381704992303,0.07721449009771669,0.24720381704992303,10,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,switch,4,0.32036519536960967,0.28006970057306624,-0.04029549479654343,0.28006970057306624,25,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,switch,5,0.34303275046776516,0.2228538307790911,-0.12017891968867406,0.2228538307790911,20,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,switch,6,0.4201194585640492,0.30230262428525023,-0.11781683427879897,0.30230262428525023,20,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,switch,7,0.3095510652940726,0.19664102077729184,-0.11291004451678077,0.19664102077729184,20,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,switch,8,0.19180652136751197,0.34318844654243474,0.15138192517492277,0.34318844654243474,24,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,switch,9,0.24348358139964674,0.2660938135850259,0.022610232185379137,0.2660938135850259,20,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,switch,10,0.4014598357901704,0.5422203893954631,0.14076055360529272,0.5422203893954631,26,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,switch,11,0.5946245441623051,0.3309150462260721,-0.26370949793623305,0.3309150462260721,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,switch,12,0.21884451563013013,0.5154557735797375,0.29661125794960735,0.5154557735797375,20,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,switch,13,0.21426115331207,0.38029566021117783,0.16603450689910784,0.38029566021117783,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,switch,14,0.26679308651069494,0.32036030305194463,0.053567216541249685,0.32036030305194463,15,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,switch,15,0.30755523184691597,0.19427296800919708,-0.11328226383771889,0.19427296800919708,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,switch,16,0.5613745318620983,0.5081351262712183,-0.05323940559088003,0.5081351262712183,22,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,switch,17,0.18747939576837552,0.2566571659801943,0.06917777021181876,0.2566571659801943,20,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,switch,18,0.1951360184119675,0.41995534952146707,0.22481933110949956,0.41995534952146707,20,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,switch,19,0.34417480239557824,0.392839156546413,0.048664354150834754,0.392839156546413,30,main,mean_H_renorm_bits,10,raw
gpt-4o-mini,switch,20,0.4126575017585107,0.27868973488309423,-0.13396776687541645,0.27868973488309423,24,main,mean_H_renorm_bits,10,raw
llama-3.3-70b,base,1,0.16663671682030898,0.21076937996079947,0.0441326631404905,0.21076937996079947,30,main,mean_H_renorm_bits,10,raw
llama-3.3-70b,base,2,0.16977707957860783,0.20427801676853038,0.03450093718992256,0.20427801676853038,30,main,mean_H_renorm_bits,10,raw
llama-3.3-70b,base,3,0.13577239999176868,0.16801988640945065,0.032247486417681964,0.16801988640945065,30,main,mean_H_renorm_bits,10,raw
llama-3.3-70b,base,4,0.11362855487582826,0.17223314499243067,0.058604590116602406,0.17223314499243067,30,main,mean_H_renorm_bits,10,raw
llama-3.3-70b,base,5,0.12497597135793392,0.18109530960356968,0.05611933824563575,0.18109530960356968,30,main,mean_H_renorm_bits,10,raw
llama-3.3-70b,base,6,0.15219838408110073,0.13113037910910724,-0.021068004971993487,0.13113037910910724,30,main,mean_H_renorm_bits,10,raw
llama-3.3-70b,base,7,0.15495636518434616,0.18533281354062386,0.030376448356277702,0.18533281354062386,30,main,mean_H_renorm_bits,10,raw
llama-3.3-70b,base,8,0.16396377381700633,0.15602959800860847,-0.007934175808397864,0.15602959800860847,30,main,mean_H_renorm_bits,10,raw
llama-3.3-70b,base,9,0.20410847674700286,0.2013269230903052,-0.0027815536566976606,0.2013269230903052,30,main,mean_H_renorm_bits,10,raw
llama-3.3-70b,base,10,0.17367409881872975,0.157207260752406,-0.016466838066323763,0.157207260752406,30,main,mean_H_renorm_bits,10,raw
llama-3.3-70b,base,11,0.1423534885767538,0.18604508692349228,0.04369159834673847,0.18604508692349228,30,main,mean_H_renorm_bits,10,raw
llama-3.3-70b,base,12,0.12447237271745504,0.14377710614436204,0.019304733426907,0.14377710614436204,30,main,mean_H_renorm_bits,10,raw
llama-3.3-70b,base,13,0.14403153163694515,0.24852843357339438,0.10449690193644923,0.24852843357339438,30,main,mean_H_renorm_bits,10,raw
llama-3.3-70b,base,14,0.11110762366883516,0.19932174739519065,0.0882141237263555,0.19932174739519065,30,main,mean_H_renorm_bits,10,raw
llama-3.3-70b,base,15,0.1742947235107409,0.10776379488424205,-0.06653092862649886,0.10776379488424205,30,main,mean_H_renorm_bits,10,raw
llama-3.3-70b,base,16,0.13994798819138457,0.17028627486572542,0.030338286674340853,0.17028627486572542,30,main,mean_H_renorm_bits,10,raw
llama-3.3-70b,base,17,0.10568148623124211,0.15418134842949194,0.048499862198249824,0.15418134842949194,30,main,mean_H_renorm_bits,10,raw
