model,condition,turn,runs_paired,I_minus_shuffled,hard_I_MM,null95_soft,null95_hard,p_perm_soft,p_perm_hard,H_system_bits,H_system_ci_low,H_system_ci_high,sum_H_bits
llama-3.3-70b,base,24,20,0.00012134483597367463,0.020133474400484658,0.0010989191992121902,0.30009287835158815,0.43313373253493015,0.7864271457085829,0.1798052360757416,0.0233889716562227,0.2894114789798935,0.1799267487995245
llama-3.3-70b,base,25,18,0.0018141157972956234,0.03232901488276628,0.025344901403178854,0.25268790478726694,0.8243512974051896,0.38323353293413176,0.581609877982861,0.1784669415025941,0.9575339014718018,0.5834305993908098
llama-3.3-70b,base,26,18,7.091787099147706e-05,0.19727907882233342,0.0007593770814730199,0.3701516924894263,0.2554890219560878,0.17365269461077845,0.1935974039638253,0.0404449721507228,0.3300559896622009,0.1936684441416051
llama-3.3-70b,base,27,20,0.001902619991025034,0.1111448409684699,0.022694568521661202,0.2734004658602971,0.8642714570858283,0.48902195608782434,0.6189108189159737,0.1782661731596207,0.9887834815020496,0.6208167410718856
llama-3.3-70b,base,28,18,0.0016780024291281892,0.046363619387891734,0.024028249429697113,0.22664764704547763,0.8223552894211577,0.6207584830339321,0.478486920212579,0.0681016382900424,0.8284952625161686,0.4801683497075123
llama-3.3-70b,base,29,19,2.2527351467765966e-05,-0.02066929485522359,0.0002194071718653448,0.18063336662923524,0.2554890219560878,0.6686626746506986,0.0730198676093363,0.0129740832536744,0.1328642466496161,0.0730424976068986
llama-3.3-70b,base,30,18,2.150898540886903e-06,0.04093808797491019,9.73669295404489e-05,0.37795617066329246,0.9141716566866267,0.6047904191616766,0.2948112663863262,8.186105516952022e-06,0.6207928113701842,0.2948134210443398
llama-3.3-70b,placebo,1,19,0.0,0.0,0.0,0.0,1.0,1.0,2.9262166602609385e-08,-0.0,8.33615140674036e-08,2.9262166602609385e-08
llama-3.3-70b,placebo,2,18,1.0103029524088925e-13,0.0,6.732558954780634e-13,0.0,1.0,1.0,0.6245352142997932,0.384335217607132,0.7938116723573654,0.6245352142998946
llama-3.3-70b,placebo,3,18,0.0024772865129516486,0.0,0.0024772865129516486,0.0,1.0,1.0,0.5017424735226245,-0.0,0.924440507315624,0.5042241659162066
llama-3.3-70b,placebo,4,19,4.865335945714033e-05,0.004220579197928731,0.004829137367264789,0.3354379078900518,0.846307385229541,1.0,0.845479340071649,0.5584132491639737,1.089230087879842,0.8455281402022597
llama-3.3-70b,placebo,5,20,4.616982990979235e-06,0.007807870880663481,4.616982990979235e-06,0.18639695711595605,0.9580838323353293,1.0,0.0687752309609334,-0.0,0.1598410766665818,0.0687798542637276
llama-3.3-70b,placebo,6,19,0.0015479981370216667,0.01343850861022533,0.0044956794857633695,0.3354379078900518,0.2954091816367265,1.0,0.7471923868744719,0.4676518892925786,0.9327489950907116,0.7487443642561294
llama-3.3-70b,placebo,7,18,0.0,0.015077316632474025,0.0,0.15649412347457692,1.0,1.0,0.0634171057038193,-0.0,0.1543304686960218,0.0634171057038193
llama-3.3-70b,placebo,8,17,0.00018812676374141413,0.048914166841415474,0.0009659588538303897,0.048914166841415474,0.6307385229540918,0.5848303393213573,0.2837334635097327,0.1057223855982536,0.4968384038519579,0.2839224733204787
llama-3.3-70b,placebo,9,19,0.00022288641588597002,0.04949134494840912,0.00810582671234189,0.2749344449564397,0.5109780439121756,0.6367265469061876,0.4327160226476571,0.0216278517642295,0.8191322327334216,0.4329392606848239
llama-3.3-70b,placebo,10,19,0.0008381456987821556,0.038216413467303756,0.009747082687259741,0.20649286467637018,0.6526946107784432,0.7225548902195609,0.4278653864588682,0.1718544517067554,0.6519965434618961,0.4287051836679055
llama-3.3-70b,placebo,11,18,5.263125014698389e-07,0.31060467115414636,2.585778360354729e-06,0.31060467115414636,0.7325349301397206,0.08582834331337326,0.0186136007460341,0.0005176817658339,0.0418577683543159,0.0186141279539986
llama-3.3-70b,placebo,12,17,0.0003175069619044679,0.07994626912344294,0.0049580586500989395,0.24178140176919305,0.4471057884231537,0.6327345309381237,0.5820019692359565,0.1482799192596166,0.9253088180358592,0.5823201854540186
llama-3.3-70b,placebo,13,18,5.58059249478049e-07,0.27702631510257864,1.853547081667947e-05,0.35729539499459445,0.8922155688622755,0.11377245508982035,0.0235594709498193,0.0005667753934264,0.0550739666559634,0.0235600299588509
llama-3.3-70b,placebo,14,19,0.06731385516627053,0.18658778444264135,0.06737444356319627,0.41453452101534083,0.05588822355289421,0.48303393213572854,0.6893344649183715,0.1092406464688955,1.0862361008973036,0.7571050046074272
llama-3.3-70b,placebo,15,20,0.00016202637461071312,0.004153829519097069,0.004047626086356726,0.30774810571807976,0.9860279441117764,1.0,0.5021352979048083,0.0210781325223936,0.8442436363759231,0.5022975801417148
llama-3.3-70b,placebo,16,17,0.0002900023125170792,0.0622799293484281,0.0028158147889658313,0.3102275819230109,0.7984031936127745,0.7105788423153693,0.7210853966342313,0.056081659315577,0.9769979362686187,0.7213760496619912
llama-3.3-70b,placebo,17,19,0.000576431378102038,0.20647972767191017,0.005348151773737708,0.3894394657039073,1.0,0.3852295409181637,0.7766909192013928,0.3051335214032745,0.9882474137833116,0.7772685513304036
