model,target,contrast,param,diff,boot_sd_a,boot_sd_b,ratio,flagged
llama-3.3-70b,y_raw,switch-placebo,phi,1.4880660138629929,1.5793840299620625,1.3023506547134802,0.7269182776865453,False
llama-3.3-70b,y_raw,switch-placebo,beta,-0.002137200136427389,0.02168877877569732,0.014157741109041095,0.08251524204449448,False
llama-3.3-70b,y_raw,switch-placebo,H0,-0.015259903973527167,0.05431425050565037,0.04133989724224663,0.22356524216124793,False
llama-3.3-70b,y_raw,switch-base,A,-3.1191773880127895,3.516175413038155,2.647499358222314,0.7086707733113373,False
llama-3.3-70b,y_raw,switch-base,lam,0.10752143479955092,0.07150865049049956,0.06384625567992668,1.1216084637079535,False
llama-3.3-70b,y_raw,switch-base,omega,-0.11638241406986527,0.10866978074224526,0.06653480952561833,0.9133722475067532,False
llama-3.3-70b,y_raw,switch-base,phi,1.0041791743513895,1.5793840299620625,1.4154189758922784,0.4734869484014802,False
llama-3.3-70b,y_raw,switch-base,beta,-0.04123327355284169,0.02168877877569732,0.010813162465280687,1.7014046194567833,False
llama-3.3-70b,y_raw,switch-base,H0,0.1283567285203524,0.05431425050565037,0.031315717728969523,2.047307267401704,True
llama-3.3-70b,y_raw,placebo-base,A,-3.119152475129484,3.22923569182694,2.647499358222314,0.7469611791792216,False
llama-3.3-70b,y_raw,placebo-base,lam,-0.05471808400033315,0.05765929292902305,0.06384625567992668,0.6360444776905085,False
llama-3.3-70b,y_raw,placebo-base,omega,0.10123367746104517,0.05891733371419589,0.06653480952561833,1.1391024597350845,False
llama-3.3-70b,y_raw,placebo-base,phi,-0.48388683951160333,1.3023506547134802,1.4154189758922784,0.25157683265897374,False
llama-3.3-70b,y_raw,placebo-base,beta,-0.0390960734164143,0.014157741109041095,0.010813162465280687,2.1945873081901484,True
llama-3.3-70b,y_raw,placebo-base,H0,0.14361663249387957,0.04133989724224663,0.031315717728969523,2.769210334291317,True
llama-3.3-70b,y_adj,switch-placebo,A,0.054100673019727416,1.648259702861705,0.8146220542599982,0.02942527997251916,False
llama-3.3-70b,y_adj,switch-placebo,lam,-0.05990829226139478,0.14239841226798935,0.07435945472994938,0.3729247772569532,False
llama-3.3-70b,y_adj,switch-placebo,omega,-1.4970995789717263,0.7122484373289321,0.7510682053509415,1.4463540188208448,False
