model,spec,metric,estimator,n_obs,term,est,se,ci_low,ci_high,p,converged,p_bh_DiD_SP_OLS
pooled (mean of models),rp10,mean_H_renorm_bits,OLS-CR(seed),7909,level DiD P-B,-0.003906673797735275,0.02930188207696888,-0.06523621782426683,0.05742287022879629,0.895338336108844,,
pooled (mean of models),rp10,mean_H_renorm_bits,OLS-CR(seed),7909,slope DiD S-P,-0.0002658491320711859,0.006503422765373893,-0.013877669415985346,0.013345971151842974,0.9678193917663029,,0.9990274766287004
pooled (mean of models),rp10,mean_H_renorm_bits,OLS-CR(seed),7909,slope DiD S-B,-0.013438811586797456,0.005189525854124989,-0.02430061403045488,-0.002577009143140031,0.01797948010352694,,
pooled (mean of models),rp10,mean_H_renorm_bits,OLS-CR(seed),7909,slope DiD P-B,-0.013172962454726269,0.003618635250450191,-0.02074685307804835,-0.005599071831404185,0.0017411261629807664,,
gpt-4o-mini,readdec,mean_H_renorm_bits,OLS-CR(seed),1894,level S,-0.23865824302181093,0.10935345628884025,-0.4675376574670411,-0.009778828576580745,0.04183344070515242,,
gpt-4o-mini,readdec,mean_H_renorm_bits,OLS-CR(seed),1894,level P,-0.09720486321099514,0.06592740943822646,-0.2351925170100285,0.040782790588038215,0.15674522111910652,,
gpt-4o-mini,readdec,mean_H_renorm_bits,OLS-CR(seed),1894,level B,0.013176739903029165,0.07035730656560568,-0.13408279514216315,0.1604362749482215,0.8534240685819274,,
gpt-4o-mini,readdec,mean_H_renorm_bits,OLS-CR(seed),1894,level DiD S-P,-0.1414533798108158,0.11544579621522817,-0.38308420826960804,0.10017744864797645,0.23544271380238305,,0.7149516993463366
gpt-4o-mini,readdec,mean_H_renorm_bits,OLS-CR(seed),1894,level DiD S-B,-0.2518349829248401,0.09360839458681794,-0.4477596044895945,-0.05591036136008562,0.014489065605838148,,
gpt-4o-mini,readdec,mean_H_renorm_bits,OLS-CR(seed),1894,level DiD P-B,-0.11038160311402431,0.08320141821441938,-0.2845241727976897,0.06376096656964106,0.2003403314341416,,
