model,condition,turn,variant,n_pairs,H1,H2,sum_H,I,H_system,I_null_mean,I_null_95,I_excess,p_perm
llama-3.3-70b,placebo,19,active_only,13,0.1729212635198184,0.0023725861954681507,0.17529384971528655,6.1172058520686005e-06,0.1752877325094345,1.2872973803876666e-05,9.43069182083663e-05,-6.755767951808065e-06,0.8451548451548452
llama-3.3-70b,placebo,20,all_states,17,0.48982138520396323,0.8770672363355146,1.366888621539478,0.03338179425700172,1.3335068272824762,0.03443484281060516,0.09130259240695147,-0.0010530485536034417,0.4975024975024975
llama-3.3-70b,placebo,20,active_only,12,0.33076235466560355,0.004372099961555474,0.335134454627159,2.8225982171197788e-05,0.33510622864498785,5.014818417279804e-05,0.00016147849708533356,-2.1922202001600252e-05,0.6743256743256744
llama-3.3-70b,placebo,21,all_states,18,0.00015948648361096914,0.8524051786494786,0.8525646651330896,1.3481883019144483e-05,0.8525511832500704,6.71288665458074e-06,1.354658846298167e-05,6.7689963645637435e-06,0.23276723276723277
llama-3.3-70b,placebo,21,active_only,13,4.185884640843483e-05,-0.0,4.185884640843483e-05,0.0,4.185884640843483e-05,0.0,0.0,0.0,1.0
llama-3.3-70b,placebo,22,all_states,19,0.20143680276542045,0.8502849957425993,1.0517217985080198,0.00020278256932053216,1.0515190159386993,0.014799880946596176,0.055066777650768506,-0.014597098377275644,0.8621378621378621
llama-3.3-70b,placebo,22,active_only,14,0.20623786775022082,0.025528681923180984,0.2317665496734018,0.00011926458615945962,0.23164728508724233,0.0003372513785680623,0.003020376379404711,-0.0002179867924086027,0.8051948051948052
llama-3.3-70b,placebo,23,all_states,19,0.008344147333412114,0.945437277433128,0.9537814247665402,0.0013488892972468656,0.9524325354692933,0.0006381077849650854,0.0013488892972468656,0.0007107815122817802,0.27472527472527475
llama-3.3-70b,placebo,23,active_only,14,-0.0,0.154663921360327,0.154663921360327,0.0,0.154663921360327,0.0,0.0,0.0,1.0
llama-3.3-70b,placebo,24,all_states,19,0.41026530127097716,0.8359031283011057,1.2461684295720827,0.030682087210915695,1.215486342361167,0.05719380306132834,0.13936159347553156,-0.026511715850412645,0.8261738261738262
llama-3.3-70b,placebo,24,active_only,13,0.15372960954162487,0.006417281410278872,0.16014689095190374,1.4755122404947869e-05,0.16013213582949878,4.645059165505876e-05,0.000380033825978583,-3.169546925011089e-05,0.9050949050949051
llama-3.3-70b,placebo,25,all_states,17,0.5230328021530789,1.0023410522312433,1.525373854384322,0.11815273304397303,1.407221121340349,0.06115395601838066,0.14081974328430333,0.05699877702559237,0.4745254745254745
