model,condition,seed,H_pre,H_post,H_delta,H_adj_pre,H_adj_post,H_adj_delta,H_decision_pre,H_decision_post,H_decision_delta,H_write_delta
llama-3.3-70b,base,5,0.1429657526432472,0.11799059584213835,-0.024975156801108858,0.17250080472980225,0.10911550191672865,-0.0633853028130736,0.12845259100431997,0.10781589196947598,-0.020636699034843983,-0.13562157604958197
llama-3.3-70b,base,6,0.1505080347714505,0.10318723061249237,-0.04732080415895813,0.16740999780791244,0.1325726032649825,-0.034837394542929945,0.14969103789378016,0.04778713643705239,-0.10190390145672777,-0.08761683868213721
llama-3.3-70b,base,7,0.16112771316447297,0.12366960664409708,-0.037458106520375886,0.16931114047320273,0.12494271494978791,-0.044368425523414814,0.17656063333842034,0.08397822893813131,-0.09258240440028903,-0.09158972379236546
llama-3.3-70b,base,8,0.12737288654097184,0.1697132897230547,0.04234040318208285,0.15592531605483556,0.16290296828252068,0.006977652227685122,0.1466287480540846,0.09942990958012936,-0.04719883847395524,0.008230116601016912
llama-3.3-70b,base,9,0.12253300290852175,0.18288884862597335,0.0603558457174516,0.14122407946048687,0.16824194107820273,0.027017861617715855,0.032021386411118465,0.04341257236994381,0.011391185958825344,0.06600614115309772
llama-3.3-70b,base,10,0.08715429672141348,0.16178552398674392,0.07463122726533045,0.1027259473919807,0.1510364233353215,0.0483104759433408,0.10899994605988618,0.013124395916087002,-0.09587555014379917,0.12026676198695005
llama-3.3-70b,base,11,0.16291953579462604,0.09641700844185615,-0.06650252735276989,0.1685017378708072,0.10803134104403665,-0.06047039682677054,0.12572990607784762,0.04909559290057426,-0.07663431317727336,-0.1442742439159024
llama-3.3-70b,base,12,0.14140127964447607,0.15364511557259766,0.012243835928121588,0.1759215713087867,0.14533312497498033,-0.030588446333806363,0.24543401455063302,0.07843736058132779,-0.16699665396930524,-0.0721678343679093
llama-3.3-70b,base,13,0.12813948145200266,0.1398361074701038,0.011696626018101147,0.1503752308252868,0.14250798453221608,-0.007867246293070729,0.13401596369515414,0.10571681712891438,-0.02829914656623976,-0.016495579058923793
llama-3.3-70b,base,14,0.14202107794452665,0.2283931124010229,0.08637203445649624,0.17270814909125837,0.21009644063371258,0.03738829154245421,0.08435834456942642,0.06300149436078809,-0.02135685020863834,0.055050573956796356
